productsubcategoryid, productcategoryid, productsubcategoryname, productsubcategorypic, 
Flour/Grain, Dry, Flour/Grain, , 
Sugar/Sweeteners, Dry, Sugar/Sweeteners, , 
Oil/Shortening, Dry, Oil/Shortening, , 
Fillings, Dry, Fillings, , 
Icings, Dry, Icings, , 
Mixes/Bases, Dry, Mixes/Bases, , 
Nuts, Dry, Nuts, , 
Chocolate, Dry, Chocolate, , 
Canned, Dry, Canned, , 
Cookies/Crumbs/S, Dry, Cookies/Crumbs/S, , 
Fruit/Vegetables, Dry, Fruit/Vegetables, , 
Spices/Flavors/C, Dry, Spices/Flavors/C, , 
Packaging, Dry, Packaging, , 
Miscellaneous, Dry, Miscellaneous, , 
Yeast, Refrigerated, Yeast, , 
Cheese, Refrigerated, Cheese, , 
Butter, Refrigerated, Butter, , 
Eggs, Refrigerated, Eggs, , 
Milk/Cream, Refrigerated, Milk/Cream, , 
Miscellaneous, Refrigerated, Miscellaneous, , 
Pies, Frozen, Pies, , 
Muffins&Batters, Frozen, Muffins&Batters, , 
Breads/Rolls, Frozen, Breads/Rolls, , 
Pastries, Frozen, Pastries, , 
Cookies, Frozen, Cookies, , 
Cakes, Frozen, Cakes, , 
Donuts, Frozen, Donuts, , 
Bagels, Frozen, Bagels, , 
ArtisanBreads, Frozen, ArtisanBreads, , 
Toppings, Frozen, Toppings, , 
Fruit/Vegetables, Frozen, Fruit/Vegetables, , 
Miscellaneous, Frozen, Miscellaneous, , 
Fresh, N/A, Fresh, , 
Decorative, Vegetables, Decorative, productsubcategorypic_61519.jpg, 
